my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
27508,77840,53891,30049,22.1,2410,17473,1218,34570,6401,30112,48991,1717,53715,62,48121,21765,234100,1036,2275,19251,383070,49262,21333,77840
27509,77843,7591,,19.4,0,128,12,5384,398,4404,7591,473,7584,0,0,0,,,0,0,15730,7591,4268,77843
27510,77845,73969,87391,32.2,4367,43694,3394,57542,3559,51343,58232,948,73728,41,73670,9716,322700,1307,18165,9985,635665,59348,10152,77845
27511,77852,14,,-666667000.0,14,14,0,14,0,14,14,0,14,0,14,0,,,14,0,,14,14,77852
27512,77853,1009,55238,51.5,333,783,28,587,279,470,851,12,1009,0,1009,97,116400,779,335,57,16195,870,119,77853
27513,77855,64,,61.4,36,64,0,64,0,64,64,14,64,0,64,0,,,25,0,,64,14,77855
27514,77856,4748,84940,37.4,1082,3135,181,4166,359,3380,3574,130,4622,19,4622,295,250400,928,1259,358,54775,3636,494,77856
27515,77857,1033,55417,47.7,270,731,32,842,104,828,811,14,1033,0,1033,126,269400,692,350,87,12365,817,78,77857
27516,77859,7220,49817,39.2,1870,4857,409,3462,2097,2927,6011,415,7220,53,7220,1677,124100,616,1966,755,63190,6056,1381,77859
27517,77861,2921,67113,43.1,504,1906,208,2593,35,2307,2256,55,2921,11,2921,293,244800,882,931,154,37575,2289,312,77861
27518,77863,348,,12.1,0,81,0,0,348,0,81,0,348,0,348,0,,,0,39,,81,0,77863
27519,77864,7565,67574,37.7,1137,4935,231,4991,1136,3682,5896,193,7427,3,7346,856,128200,782,1786,880,66825,5990,1078,77864
27520,77865,2141,84602,35.9,404,1183,111,2052,2,1912,1560,59,2141,0,2138,200,162500,1169,539,148,24905,1560,201,77865
27521,77866,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,77866
27522,77867,211,29531,47.4,67,121,2,121,90,24,145,0,211,30,211,21,,,72,5,,151,35,77867
27523,77868,17559,59534,38.1,2575,11793,580,10007,3114,7602,14129,437,14164,75,13999,2200,186000,905,3574,1596,167360,14441,3479,77868
27524,77871,2528,56544,55.5,843,2021,139,2204,94,2176,2198,32,2528,37,2528,198,185200,742,924,256,32370,2253,298,77871
27525,77872,2327,76250,33.2,471,1448,149,2127,3,2046,1732,49,2327,0,2290,305,166000,1102,587,167,24285,1777,242,77872
27526,77873,1287,76705,47.7,256,872,76,1180,22,1177,1083,11,1287,0,1287,179,204900,540,488,37,18975,1112,109,77873
27527,77875,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,77875
27528,77876,175,67457,46.5,40,142,0,167,8,167,142,0,175,0,175,0,,,63,0,,142,0,77876
27529,77878,705,47403,43.8,208,596,35,432,29,387,694,22,705,0,705,219,136800,905,206,166,8275,694,95,77878
27530,77879,4876,69636,44.8,889,3631,310,3500,648,3159,4142,181,4876,36,4876,785,132500,892,1764,467,56930,4190,445,77879
27531,77880,2041,87324,57.2,882,1785,22,1255,766,1255,1829,7,2014,0,2041,157,284200,1408,973,79,30915,1849,206,77880
27532,77882,36,,-666667000.0,0,36,0,36,0,15,36,0,36,0,36,0,,,15,0,,36,0,77882
27533,77901,40137,52823,32.8,6498,25399,2177,24099,3352,9860,30876,1304,39577,105,39035,9339,127600,1017,8597,6312,336450,31478,6116,77901
27534,77904,29761,85410,38.2,4626,20076,2268,21786,1020,15485,23174,526,29334,11,29153,2547,226500,1178,7933,3522,272625,23884,3756,77904
27535,77905,16500,77146,40.3,2667,11170,1206,13005,443,10523,13090,389,16434,0,16382,2118,183200,1068,5068,1036,186985,13201,1601,77905
27536,77950,156,55455,54.0,35,126,4,119,10,106,138,2,156,0,156,8,62500,,53,15,2830,138,21,77950
27537,77951,1246,24331,41.1,303,831,0,1049,74,317,877,38,1246,0,1246,533,57300,739,336,201,4220,937,104,77951
27538,77954,10918,61382,40.9,2501,7978,459,6040,1223,5219,8943,261,9159,9,9150,1600,166000,937,2226,1156,87650,9141,1869,77954
27539,77957,8492,63750,40.8,1779,5758,300,6417,832,4861,6730,258,8325,0,8335,1417,111700,916,2212,778,75490,6745,810,77957
27540,77960,55,,-666667000.0,0,55,0,55,0,0,55,0,55,0,55,0,,,55,0,,55,0,77960
27541,77961,137,,-666667000.0,0,137,0,137,0,137,137,0,137,0,137,0,,,45,92,,137,92,77961
27542,77962,3813,79004,32.9,729,2461,291,2775,54,1972,2999,19,3759,22,3759,329,187900,853,858,439,50100,3046,345,77962
27543,77963,5246,55313,40.6,1034,3595,352,3793,360,2635,4169,82,5149,0,5146,577,172800,775,1552,377,53725,4274,629,77963
27544,77964,7911,60435,43.2,1635,5413,437,6121,772,5833,6243,135,7694,0,7649,816,207700,909,2292,937,101185,6339,739,77964
27545,77968,3220,77794,39.2,458,2135,202,3005,4,2833,2346,25,3190,38,3190,124,278300,675,1014,140,39810,2402,255,77968
27546,77969,224,78125,54.4,44,196,9,215,0,215,212,0,224,0,224,0,490000,,92,0,,212,0,77969
27547,77970,273,83542,33.1,35,147,6,242,0,182,211,22,273,14,273,0,,695,53,27,4030,211,20,77970
27548,77971,854,56124,47.8,222,643,97,854,0,526,745,0,854,0,854,0,223700,,253,0,,745,122,77971
27549,77973,23,,55.4,6,15,0,23,0,0,23,0,23,0,23,0,,,0,9,,23,8,77973
27550,77974,565,59000,36.1,83,344,97,487,0,481,399,23,565,0,565,188,183700,1112,133,61,6865,406,50,77974
27551,77975,1643,55533,48.6,425,1184,73,1351,25,1265,1308,9,1595,4,1588,187,170100,920,513,207,16890,1338,205,77975
27552,77976,49,,65.6,16,49,5,49,0,49,49,5,49,0,49,0,200000,,22,0,,49,5,77976
27553,77977,536,22500,40.4,215,370,10,335,119,199,421,0,536,0,536,156,44100,,212,26,,472,231,77977
27554,77978,458,90625,41.3,143,354,53,365,0,216,385,0,458,0,458,60,98300,984,121,49,2925,385,110,77978
27555,77979,16607,60782,37.4,3121,11112,1047,11225,578,6033,13051,280,16344,11,16317,1607,123500,944,4858,1650,130265,13330,1717,77979
27556,77982,791,91150,64.6,247,668,95,772,1,751,779,1,791,0,791,2,256600,,345,20,,779,83,77982
27557,77983,2337,80541,37.9,346,1492,101,1767,0,1224,1773,59,2337,0,2337,134,156300,1355,826,178,31465,1807,222,77983
27558,77984,4365,84177,47.6,1057,3116,302,3788,120,3735,3498,82,4299,14,4290,276,199300,963,1542,219,44015,3624,421,77984
27559,77986,16,,-666667000.0,0,16,0,16,0,16,16,0,16,0,16,0,,,8,0,,16,0,77986
27560,77987,146,109375,38.0,36,93,8,146,0,146,102,3,146,5,146,6,,,45,6,2120,102,14,77987
27561,77988,161,61913,52.7,75,161,0,123,0,18,161,0,161,0,161,49,,,26,49,,161,0,77988
27562,77990,962,74250,52.1,313,710,46,779,22,386,782,81,962,0,962,57,89400,980,285,42,9935,785,77,77990
27563,77991,526,119531,18.4,43,232,58,201,0,169,267,48,526,0,526,0,,,98,0,9920,267,21,77991
27564,77993,214,,41.5,6,138,23,214,0,214,138,0,214,0,214,0,204300,,54,0,,168,0,77993
27565,77994,430,81544,32.2,74,297,5,383,0,266,308,0,430,38,430,150,,,109,19,3550,317,38,77994
27566,77995,10890,54300,39.1,2390,6999,545,7337,400,6512,8289,149,10691,25,10691,1340,171400,838,2963,943,88155,8475,1261,77995
27567,78001,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,78001
27568,78002,8047,64792,30.9,1108,4582,520,4300,40,1370,6082,165,8034,31,7978,1214,162200,1193,1784,602,90780,6188,1217,78002
27569,78003,8940,63052,52.0,1394,6365,897,7218,85,6743,6844,171,8778,0,8442,1608,221100,962,3087,618,114225,6883,391,78003
27570,78004,610,137598,65.2,82,557,0,567,0,567,568,0,610,0,610,11,520100,,206,59,9875,568,11,78004
27571,78005,1421,66093,41.3,294,1358,18,1268,0,417,1388,0,1421,0,1421,149,,,373,231,20700,1388,16,78005
27572,78006,41236,107803,42.5,3518,28644,2138,34036,390,29044,33050,901,40733,70,40657,2324,470700,1487,11319,3997,427855,33939,4172,78006
27573,78007,196,62143,14.0,45,97,11,145,0,77,97,0,196,0,196,22,,,35,9,2400,97,0,78007
27574,78008,365,,33.1,136,246,0,152,0,22,246,0,365,0,340,199,,,58,58,2260,246,25,78008
27575,78009,9202,98732,42.3,1039,6268,816,5482,405,3415,7464,194,9099,13,9104,800,320000,1221,2618,484,120070,7566,1001,78009
27576,78010,4174,73682,45.9,642,2923,160,2610,3,2175,3415,140,4146,17,4146,613,246200,,1207,353,47195,3443,431,78010
27577,78011,1608,27193,32.6,317,932,0,1008,0,335,1275,34,1608,10,1608,514,61600,,537,34,18355,1380,355,78011
27578,78012,253,46000,32.4,52,144,0,79,0,0,208,24,253,0,253,23,92300,,58,24,3895,210,33,78012
27579,78013,5169,75838,50.9,912,4065,134,4023,17,3447,4426,155,5120,17,5110,347,344900,956,1870,323,75890,4454,575,78013
27580,78014,5245,67994,35.7,1196,3518,69,2761,198,352,4088,86,4532,0,4532,1445,95000,848,1010,323,47965,4235,1165,78014
27581,78015,21583,146838,37.7,1228,13718,959,16746,937,14579,16029,416,21583,37,21583,1024,474600,1485,6940,500,217345,16430,1762,78015
27582,78016,11345,56205,41.9,2308,7664,613,8156,163,4703,9018,97,11185,0,11226,1158,168100,683,2945,860,120660,9284,1471,78016
27583,78017,5471,72188,32.9,1057,3506,308,3356,536,919,4292,20,3468,0,3382,427,106300,697,771,266,29170,4434,1671,78017
27584,78019,1877,49306,37.4,269,1122,34,960,34,340,1712,10,1629,0,1629,258,106500,910,412,30,9575,1746,561,78019
27585,78021,5,,-666667000.0,3,5,0,5,0,5,5,0,5,0,5,0,,,2,0,,5,0,78021
27586,78022,4724,57833,37.7,753,3277,126,3891,64,2017,3747,51,4480,0,4480,956,154100,951,1111,453,32910,3813,511,78022
27587,78023,28195,129145,43.5,2022,19399,1822,19199,756,12333,22707,557,28040,54,28120,1006,374800,1561,8524,1021,340415,23031,3529,78023
27588,78024,1190,71386,55.9,141,1018,151,1057,109,970,1053,7,1190,0,1148,258,492100,883,383,100,14825,1061,150,78024
27589,78025,5264,64340,49.4,987,3887,343,4128,104,3558,4332,64,5178,73,5165,596,207100,985,1616,548,59095,4423,529,78025
27590,78026,6426,74047,41.4,1534,4528,112,4864,19,3407,5069,192,6303,0,6308,677,139200,955,1693,920,59015,5183,660,78026
27591,78027,460,103194,48.7,0,413,104,333,0,333,427,0,460,0,460,0,226100,,160,0,,427,59,78027
27592,78028,39906,64768,47.2,6826,28838,2107,31661,642,26811,33652,584,39077,175,38310,4900,259300,1068,11480,5398,282210,33909,5119,78028
27593,78029,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,78029
27594,78039,2193,69669,44.6,846,1713,91,1547,37,1013,1893,3,2176,0,2193,265,86600,933,707,116,27565,1906,290,78039
